cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
48,1.192,False,,0.94852,0.05148,0.97546,0,0,1.0,0.82352,0.9404,0.82352,0.82352,0.82352
49,1.196,False,,0.94782,0.05218,0.96919,0,0,1.0,0.82827,0.94132,0.82827,0.82827,0.82827
50,1.2,False,,0.94773,0.05227,0.97143,0,0,1.0,0.82519,0.94059,0.82519,0.82519,0.82519
51,1.204,False,,0.94751,0.05249,0.96996,0,0,1.0,0.82611,0.94078,0.82611,0.82611,0.82611
52,1.208,False,,0.94633,0.05367,0.96961,0,0,1.0,0.82181,0.93929,0.82181,0.82181,0.82181
53,1.212,False,,0.94522,0.05478,0.96456,0,0,1.0,0.82342,0.93937,0.82342,0.82342,0.82342
54,1.216,False,,0.94536,0.05464,0.95495,0,0,1.0,0.8355,0.94213,0.8355,0.8355,0.8355
55,1.22,False,,0.94448,0.05552,0.9521,0,0,1.0,0.83541,0.94218,0.83541,0.83541,0.83541
56,1.224,False,,0.94506,0.05494,0.95864,0,0,1.0,0.82987,0.94089,0.82987,0.82987,0.82987
57,1.228,False,,0.94349,0.05651,0.95595,0,0,1.0,0.82683,0.9397,0.82683,0.82683,0.82683
58,1.232,False,,0.94505,0.05495,0.95961,0,0,1.0,0.82867,0.94063,0.82867,0.82867,0.82867
59,1.236,False,,0.94543,0.05457,0.9557,0,0,1.0,0.83488,0.94225,0.83488,0.83488,0.83488
60,1.24,False,,0.94553,0.05447,0.95105,0,0,1.0,0.84085,0.94377,0.84085,0.84085,0.84085
61,1.244,False,,0.94391,0.05609,0.94354,0,0,1.0,0.8434,0.94396,0.8434,0.8434,0.8434
62,1.248,False,,0.94453,0.05547,0.95063,0,0,1.0,0.83737,0.94259,0.83737,0.83737,0.83737
63,1.252,False,,0.94426,0.05574,0.95708,0,0,1.0,0.82854,0.94021,0.82854,0.82854,0.82854
64,1.256,False,,0.94658,0.05342,0.96631,0,0,1.0,0.82677,0.94051,0.82677,0.82677,0.82677
65,1.26,False,,0.94523,0.05477,0.96994,0,0,1.0,0.81701,0.93763,0.81701,0.81701,0.81701
66,1.264,False,,0.94576,0.05424,0.96793,0,0,1.0,0.82154,0.93907,0.82154,0.82154,0.82154
67,1.268,False,,0.94599,0.05401,0.97029,0,0,1.0,0.8196,0.93868,0.8196,0.8196,0.8196
68,1.272,False,,0.94564,0.05436,0.96365,0,0,1.0,0.82619,0.94013,0.82619,0.82619,0.82619
69,1.276,False,,0.94597,0.05403,0.96348,0,0,1.0,0.8277,0.94071,0.8277,0.8277,0.8277
70,1.28,False,,0.94535,0.05465,0.96277,0,0,1.0,0.82608,0.94011,0.82608,0.82608,0.82608
71,1.284,False,,0.94436,0.05564,0.96197,0,0,1.0,0.82308,0.93905,0.82308,0.82308,0.82308
72,1.288,False,,0.94647,0.05353,0.96776,0,0,1.0,0.82458,0.93998,0.82458,0.82458,0.82458
73,1.292,False,,0.94699,0.05301,0.96485,0,0,1.0,0.83015,0.94157,0.83015,0.83015,0.83015
74,1.296,False,,0.94625,0.05375,0.96661,0,0,1.0,0.82506,0.94007,0.82506,0.82506,0.82506
75,1.3,False,,0.94673,0.05327,0.95668,0,0,1.0,0.83888,0.94326,0.83888,0.83888,0.83888
76,1.304,False,,0.94692,0.05308,0.95469,0,0,1.0,0.84203,0.94455,0.84203,0.84203,0.84203
77,1.308,False,,0.94597,0.05403,0.95227,0,0,1.0,0.84117,0.94405,0.84117,0.84117,0.84117
78,1.312,False,,0.94804,0.05196,0.96093,0,0,1.0,0.83903,0.94402,0.83903,0.83903,0.83903
79,1.316,False,,0.94619,0.05381,0.95274,0,0,1.0,0.84147,0.9441,0.84147,0.84147,0.84147
80,1.32,False,,0.94598,0.05402,0.95756,0,0,1.0,0.83486,0.94238,0.83486,0.83486,0.83486
81,1.324,False,,0.94414,0.05586,0.95258,0,0,1.0,0.83349,0.94153,0.83349,0.83349,0.83349
82,1.328,False,,0.94422,0.05578,0.95506,0,0,1.0,0.8308,0.94095,0.8308,0.8308,0.8308
83,1.332,False,,0.94661,0.05339,0.96031,0,0,1.0,0.83408,0.94235,0.83408,0.83408,0.83408
84,1.336,False,,0.94633,0.05367,0.95817,0,0,1.0,0.83551,0.94277,0.83551,0.83551,0.83551
85,1.34,False,,0.94329,0.05671,0.94353,0,0,1.0,0.84093,0.94294,0.84093,0.84093,0.84093
86,1.344,False,,0.94479,0.05521,0.94694,0,0,1.0,0.84283,0.94408,0.84283,0.84283,0.84283
