cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
86,0.66811,0.58963,0.61615,0.88385,0.93382,0.99979,0.15684,0.48888,0.63363,0.54833,False
87,0.6505,0.57364,0.61727,0.88273,0.99356,0.99967,0.09979,0.47847,0.61048,0.52893,False
88,0.65638,0.58028,0.62357,0.87643,0.97881,0.99989,0.12293,0.48709,0.61824,0.5368,False
89,0.6652,0.58692,0.62914,0.87086,0.90054,0.99963,0.15936,0.48559,0.63133,0.54918,False
90,0.68461,0.60493,0.63402,0.86598,0.82119,0.99943,0.2277,0.49797,0.65737,0.57242,False
91,0.66424,0.57849,0.63755,0.86245,0.72876,0.99991,0.17376,0.45165,0.63509,0.55408,False
92,0.66899,0.58209,0.64201,0.85799,0.68283,0.99987,0.19457,0.45087,0.64228,0.56115,False
93,0.66819,0.57937,0.64529,0.85471,0.63563,0.99981,0.19767,0.44145,0.64268,0.56221,False
94,0.63096,0.53577,0.64094,0.85906,0.58882,0.99941,0.08446,0.3775,0.59835,0.52372,False
95,0.63145,0.53134,0.64623,0.85377,0.47541,0.99981,0.09702,0.35638,0.60218,0.52799,False
96,0.62085,0.51631,0.64706,0.85294,0.40417,0.99982,0.07009,0.3267,0.59121,0.51883,False
97,0.61265,0.50507,0.64744,0.85256,0.35747,0.99981,0.04849,0.30542,0.58247,0.51149,False
98,0.60896,0.49894,0.63954,0.86046,0.33902,0.99938,0.03345,0.29167,0.57828,0.50637,False
99,0.61044,0.49689,0.6403,0.8597,0.26473,0.99958,0.04342,0.27781,0.58215,0.50976,False
100,0.6101,0.49117,0.64025,0.85975,0.159,0.9996,0.04961,0.25415,0.58464,0.51187,False
101,0.60804,0.48183,0.63642,0.86358,0.03175,0.99985,0.04919,0.221,0.58552,0.51172,False
102,0.61397,0.48925,0.64701,0.85299,0.01674,0.99984,0.07566,0.23233,0.59345,0.52072,False
103,0.65026,0.53501,0.6487,0.8513,0.12998,0.99915,0.18063,0.30839,0.63478,0.55642,False
104,0.65712,0.54651,0.64557,0.85443,0.22043,0.99931,0.19305,0.33565,0.64059,0.56064,False
105,0.67871,0.57396,0.64332,0.85668,0.30387,0.99916,0.25193,0.38233,0.66465,0.58066,False
106,0.70558,0.60711,0.6368,0.8632,0.39859,0.99873,0.32346,0.43624,0.69474,0.60498,False
107,0.69187,0.59503,0.63598,0.86402,0.46183,0.9995,0.27591,0.43041,0.67619,0.58881,False
108,0.68221,0.58945,0.63823,0.86177,0.55493,0.9999,0.24114,0.43871,0.66186,0.57699,False
109,0.68069,0.59414,0.63772,0.86228,0.68176,0.99971,0.22759,0.46417,0.6565,0.57238,False
