cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
48,1.8639999999999999,False,,0.94497,0.05503,0.94317,0,0,1.0,0.84808,0.94549,0.84808,0.84808,0.84808
49,1.882,False,,0.94426,0.05574,0.93993,0,0,1.0,0.84914,0.94555,0.84914,0.84914,0.84914
50,1.9,False,,0.94439,0.05561,0.947,0,0,1.0,0.84116,0.94337,0.84116,0.84116,0.84116
51,1.918,False,,0.94419,0.05581,0.94858,0,0,1.0,0.83848,0.94286,0.83848,0.83848,0.83848
52,1.936,False,,0.94421,0.05579,0.94998,0,0,1.0,0.83686,0.94247,0.83686,0.83686,0.83686
53,1.954,False,,0.94263,0.05737,0.95017,0,0,1.0,0.83032,0.94023,0.83032,0.83032,0.83032
54,1.972,False,,0.94284,0.05716,0.94485,0,0,1.0,0.83754,0.9421,0.83754,0.83754,0.83754
55,1.9899999999999998,False,,0.9427,0.0573,0.94265,0,0,1.0,0.83961,0.9427,0.83961,0.83961,0.83961
56,2.008,False,,0.9416,0.0584,0.93739,0,0,1.0,0.84152,0.94283,0.84152,0.84152,0.84152
57,2.026,False,,0.94291,0.05709,0.93853,0,0,1.0,0.84541,0.94414,0.84541,0.84541,0.84541
58,2.0439999999999996,False,,0.94285,0.05715,0.93549,0,0,1.0,0.84879,0.94501,0.84879,0.84879,0.84879
59,2.062,False,,0.94264,0.05736,0.93492,0,0,1.0,0.84864,0.94495,0.84864,0.84864,0.84864
60,2.08,False,,0.94257,0.05743,0.93351,0,0,1.0,0.85007,0.94528,0.85007,0.85007,0.85007
61,2.098,False,,0.9418,0.0582,0.92963,0,0,1.0,0.85163,0.94543,0.85163,0.85163,0.85163
62,2.1159999999999997,False,,0.94311,0.05689,0.93392,0,0,1.0,0.85173,0.94583,0.85173,0.85173,0.85173
63,2.134,False,,0.94334,0.05666,0.93463,0,0,1.0,0.85178,0.94595,0.85178,0.85178,0.85178
64,2.152,False,,0.94128,0.05872,0.92565,0,0,1.0,0.85433,0.94589,0.85433,0.85433,0.85433
65,2.17,False,,0.94064,0.05936,0.92245,0,0,1.0,0.8556,0.94608,0.8556,0.8556,0.8556
66,2.1879999999999997,False,,0.94145,0.05855,0.93138,0,0,1.0,0.84814,0.9442,0.84814,0.84814,0.84814
67,2.206,False,,0.94047,0.05953,0.92695,0,0,1.0,0.84954,0.94451,0.84954,0.84954,0.84954
68,2.224,False,,0.94157,0.05843,0.9292,0,0,1.0,0.85125,0.94525,0.85125,0.85125,0.85125
69,2.242,False,,0.94197,0.05803,0.93033,0,0,1.0,0.85148,0.94546,0.85148,0.85148,0.85148
70,2.26,False,,0.94219,0.05781,0.93155,0,0,1.0,0.8509,0.94538,0.8509,0.8509,0.8509
71,2.2779999999999996,False,,0.94239,0.05761,0.92919,0,0,1.0,0.85454,0.94627,0.85454,0.85454,0.85454
72,2.296,False,,0.94331,0.05669,0.9326,0,0,1.0,0.8541,0.9465,0.8541,0.8541,0.8541
73,2.314,False,,0.94275,0.05725,0.93202,0,0,1.0,0.85259,0.94594,0.85259,0.85259,0.85259
74,2.332,False,,0.94358,0.05642,0.93484,0,0,1.0,0.85253,0.94619,0.85253,0.85253,0.85253
75,2.3499999999999996,False,,0.94244,0.05756,0.93088,0,0,1.0,0.85272,0.94589,0.85272,0.85272,0.85272
76,2.368,False,,0.94259,0.05741,0.93068,0,0,1.0,0.85354,0.94616,0.85354,0.85354,0.85354
77,2.386,False,,0.94245,0.05755,0.93049,0,0,1.0,0.85322,0.94604,0.85322,0.85322,0.85322
78,2.404,False,,0.94355,0.05645,0.93371,0,0,1.0,0.85375,0.94647,0.85375,0.85375,0.85375
79,2.4219999999999997,False,,0.94284,0.05716,0.93108,0,0,1.0,0.85408,0.94637,0.85408,0.85408,0.85408
80,2.44,False,,0.94467,0.05533,0.94473,0,0,1.0,0.84502,0.9443,0.84502,0.84502,0.84502
81,2.458,False,,0.94404,0.05596,0.94172,0,0,1.0,0.84609,0.94472,0.84609,0.84609,0.84609
82,2.476,False,,0.94404,0.05596,0.94122,0,0,1.0,0.8467,0.94489,0.8467,0.8467,0.8467
83,2.4939999999999998,False,,0.94453,0.05547,0.94151,0,0,1.0,0.84833,0.94542,0.84833,0.84833,0.84833
84,2.5119999999999996,False,,0.94439,0.05561,0.94189,0,0,1.0,0.8473,0.94514,0.8473,0.8473,0.8473
85,2.53,False,,0.94463,0.05537,0.94156,0,0,1.0,0.84865,0.94554,0.84865,0.84865,0.84865
86,2.548,False,,0.94424,0.05576,0.939,0,0,1.0,0.85014,0.9458,0.85014,0.85014,0.85014
87,2.566,False,,0.94347,0.05653,0.93545,0,0,1.0,0.85135,0.94587,0.85135,0.85135,0.85135
88,2.5839999999999996,False,,0.94166,0.05834,0.92827,0,0,1.0,0.8527,0.94562,0.8527,0.8527,0.8527
89,2.602,False,,0.94195,0.05805,0.92908,0,0,1.0,0.8529,0.94581,0.8529,0.8529,0.8529
90,2.62,False,,0.94237,0.05763,0.92968,0,0,1.0,0.85388,0.94617,0.85388,0.85388,0.85388
91,2.638,False,,0.9423,0.0577,0.92899,0,0,1.0,0.8544,0.94629,0.8544,0.8544,0.8544
92,2.6559999999999997,False,,0.94469,0.05531,0.94093,0,0,1.0,0.84966,0.94567,0.84966,0.84966,0.84966
93,2.674,False,,0.94406,0.05594,0.93729,0,0,1.0,0.85148,0.94607,0.85148,0.85148,0.85148
94,2.692,False,,0.94519,0.05481,0.94946,0,0,1.0,0.84141,0.94352,0.84141,0.84141,0.84141
95,2.71,False,,0.94485,0.05515,0.94587,0,0,1.0,0.84436,0.94452,0.84436,0.84436,0.84436
96,2.7279999999999998,False,,0.94415,0.05585,0.94238,0,0,1.0,0.84575,0.94467,0.84575,0.84575,0.84575
97,2.7459999999999996,False,,0.9446,0.0554,0.94242,0,0,1.0,0.84749,0.94523,0.84749,0.84749,0.84749
98,2.764,False,,0.94434,0.05566,0.93855,0,0,1.0,0.85109,0.94601,0.85109,0.85109,0.85109
99,2.782,False,,0.94345,0.05655,0.93548,0,0,1.0,0.85124,0.94583,0.85124,0.85124,0.85124
100,2.8,False,,0.94345,0.05655,0.93452,0,0,1.0,0.85236,0.94612,0.85236,0.85236,0.85236
