cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
50,1,False,,0.94316,0.05684,0.94535,0,0,1.0,0.83823,0.94241,0.83823,0.83823,0.83823
51,1,False,,0.9428,0.0572,0.94605,0,0,1.0,0.83596,0.94181,0.83596,0.83596,0.83596
52,1,False,,0.94265,0.05735,0.94683,0,0,1.0,0.83442,0.94139,0.83442,0.83442,0.83442
53,1,False,,0.94367,0.05633,0.94726,0,0,1.0,0.83798,0.94255,0.83798,0.83798,0.83798
54,1,False,,0.94324,0.05676,0.94302,0,0,1.0,0.84131,0.94326,0.84131,0.84131,0.84131
55,1,False,,0.94282,0.05718,0.94136,0,0,1.0,0.84163,0.94325,0.84163,0.84163,0.84163
56,1,False,,0.94212,0.05788,0.94349,0,0,1.0,0.83631,0.94162,0.83631,0.83631,0.83631
57,1,False,,0.94399,0.05601,0.94537,0,0,1.0,0.84151,0.94344,0.84151,0.84151,0.84151
58,1,False,,0.94657,0.05343,0.95689,0,0,1.0,0.83803,0.9433,0.83803,0.83803,0.83803
59,1,False,,0.9457,0.0543,0.956,0,0,1.0,0.8356,0.94257,0.8356,0.8356,0.8356
60,1,False,,0.94698,0.05302,0.9576,0,0,1.0,0.83881,0.94372,0.83881,0.83881,0.83881
61,1,False,,0.94611,0.05389,0.95294,0,0,1.0,0.84092,0.94403,0.84092,0.84092,0.84092
62,1,False,,0.94633,0.05367,0.95326,0,0,1.0,0.84142,0.94425,0.84142,0.84142,0.84142
63,1,False,,0.94679,0.05321,0.9525,0,0,1.0,0.84415,0.94503,0.84415,0.84415,0.84415
64,1,False,,0.94743,0.05257,0.95167,0,0,1.0,0.84773,0.94605,0.84773,0.84773,0.84773
65,1,False,,0.94854,0.05146,0.95988,0,0,1.0,0.84231,0.94503,0.84231,0.84231,0.84231
66,1,False,,0.94785,0.05215,0.96071,0,0,1.0,0.83856,0.9439,0.83856,0.83856,0.83856
67,1,False,,0.94868,0.05132,0.9618,0,0,1.0,0.84055,0.94468,0.84055,0.84055,0.84055
68,1,False,,0.9484,0.0516,0.95968,0,0,1.0,0.842,0.94501,0.842,0.842,0.842
69,1,False,,0.94789,0.05211,0.95749,0,0,1.0,0.84259,0.945,0.84259,0.84259,0.84259
70,1,False,,0.94732,0.05268,0.95564,0,0,1.0,0.8425,0.94481,0.8425,0.8425,0.8425
71,1,False,,0.94705,0.05295,0.95909,0,0,1.0,0.83728,0.94334,0.83728,0.83728,0.83728
72,1,False,,0.94703,0.05297,0.95831,0,0,1.0,0.83814,0.94364,0.83814,0.83814,0.83814
73,1,False,,0.94599,0.05401,0.95506,0,0,1.0,0.83789,0.94324,0.83789,0.83789,0.83789
74,1,False,,0.94609,0.05391,0.9548,0,0,1.0,0.83859,0.94347,0.83859,0.83859,0.83859
75,1,False,,0.94494,0.05506,0.95037,0,0,1.0,0.8393,0.94327,0.8393,0.8393,0.8393
76,1,False,,0.94474,0.05526,0.9484,0,0,1.0,0.84089,0.94364,0.84089,0.84089,0.84089
77,1,False,,0.94529,0.05471,0.9542,0,0,1.0,0.83613,0.94255,0.83613,0.83613,0.83613
78,1,False,,0.94588,0.05412,0.95438,0,0,1.0,0.83825,0.9433,0.83825,0.83825,0.83825
79,1,False,,0.94505,0.05495,0.95045,0,0,1.0,0.83967,0.94341,0.83967,0.83967,0.83967
80,1,False,,0.94668,0.05332,0.9567,0,0,1.0,0.83867,0.9436,0.83867,0.83867,0.83867
81,1,False,,0.94587,0.05413,0.95357,0,0,1.0,0.83919,0.94354,0.83919,0.83919,0.83919
82,1,False,,0.94547,0.05453,0.95208,0,0,1.0,0.83939,0.94348,0.83939,0.83939,0.83939
83,1,False,,0.94557,0.05443,0.95141,0,0,1.0,0.84059,0.94381,0.84059,0.84059,0.84059
84,1,False,,0.94504,0.05496,0.95062,0,0,1.0,0.83942,0.94336,0.83942,0.83942,0.83942
85,1,False,,0.94623,0.05377,0.95194,0,0,1.0,0.84259,0.94444,0.84259,0.84259,0.84259
86,1,False,,0.94568,0.05432,0.94947,0,0,1.0,0.84336,0.94454,0.84336,0.84336,0.84336
